,MN.1,MN.2,MN.3,MN.4,MN.6,MN.7,Not_Defined,V0.1,V0.2,V0.3,V1.1,V1.2,V1.3,V1.4,V1.5,V1.6,V1.7,V2a.1,V2a.2,V2a.3,V2a.4,V2b.1,V2b.2,V2b.3,V2b.4,V3.1,V3.2,V3.3,V3.4,dl1.1,dl1.2,dl1.3,dl1.4,dl1.5,dl1.6,dl1.7,dl2.1,dl2.2,dl2.3,dl2.4,dl2.5,dl3.1,dl3.2,dl3.3,dl3.4,dl3.5,dl3.6,dl4.1,dl4.2,dl4.3,dl4.4,dl4.5,dl4.6,dl5.1,dl5.2,dl5.3,dl5.4,dl5.5
ENSMUSG00000013033,66,17,18,170,94,150,8043,94,25,19,81,103,178,127,9,29,22,16,144,77,19,25,28,31,177,9,82,47,44,138,56,172,17,44,89,100,291,215,43,24,11,191,270,236,112,27,92,212,212,663,313,631,1149,185,108,301,677,847
ENSMUSG00000028184,41,20,35,75,24,73,9950,30,13,8,35,37,119,73,15,21,14,13,62,30,18,26,18,25,70,20,39,31,21,73,31,170,16,16,83,37,202,90,41,27,17,54,213,209,160,29,85,269,258,1290,211,598,849,310,315,277,695,529
ENSMUSG00000037605,47,7,18,200,68,95,4497,80,30,29,119,89,139,101,6,20,14,15,173,121,6,4,3,24,129,6,67,62,28,72,44,151,33,25,99,66,326,301,28,47,20,41,148,196,80,8,76,211,138,516,195,370,882,138,83,200,541,454
ENSMUSG00000016150,1,0,1,2,28,34,408,9,0,0,6,7,8,14,0,0,0,0,8,2,0,0,0,0,9,1,40,4,5,7,18,18,0,0,3,4,46,16,1,0,0,14,27,42,6,2,8,3,9,12,28,62,75,5,1,6,110,140
ENSMUSG00000049336,21,7,7,41,12,23,1308,35,9,9,20,31,52,25,14,9,18,3,46,26,3,6,21,11,85,3,30,9,18,25,20,53,1,2,9,22,135,70,13,21,10,23,117,88,42,1,37,152,65,250,138,191,363,60,43,97,210,193
ENSMUSG00000031561,192,40,26,64,9,11,7534,18,15,3,19,24,22,32,6,1,3,2,41,28,2,12,4,17,47,19,10,7,10,16,7,26,9,9,16,10,78,36,25,9,7,58,65,166,51,21,32,74,96,422,37,194,256,156,50,156,522,349
ENSMUSG00000048078,48,11,38,23,67,57,8133,69,5,18,22,44,38,50,6,4,8,2,31,26,6,15,6,14,38,9,49,7,13,37,19,46,8,5,12,13,107,21,19,9,13,142,144,78,39,70,62,155,94,194,43,192,278,104,36,92,145,177
ENSMUSG00000047787,3,0,3,7,2,24,1904,1,0,1,6,2,39,18,28,3,4,0,3,5,0,3,4,3,9,0,5,6,1,2,0,2,0,1,1,1,15,5,3,1,7,20,15,2,4,35,11,9,19,62,3,32,74,17,7,2,24,14
ENSMUSG00000047414,10,7,5,27,9,23,7557,26,4,2,10,12,24,12,1,6,4,1,30,16,2,8,7,6,20,5,39,5,23,12,10,45,7,3,8,17,60,13,4,2,8,30,41,45,10,9,19,19,34,70,9,77,158,48,17,26,89,161
ENSMUSG00000051379,17,9,10,40,14,20,8179,19,7,3,34,34,36,34,6,22,14,1,38,15,8,3,6,6,51,17,41,33,17,31,64,26,5,9,17,18,88,31,10,5,10,23,35,79,17,10,23,41,70,55,29,110,417,84,9,30,241,156
ENSMUSG00000024109,41,6,11,131,128,144,5906,104,41,18,30,85,95,98,6,22,20,7,124,72,3,4,21,16,169,6,122,38,42,164,196,471,4,6,146,171,517,290,35,49,6,260,563,925,208,11,127,231,99,638,363,643,1299,104,103,799,3210,1925
